match_id,date,team_a,team_b,elo_a_pre_original,elo_b_pre_original,elo_a_pre_rederived,elo_b_pre_rederived,elo_delta_a,elo_delta_b,elo_source_status
19580617_Czechoslovakia_vs_Northern_Ireland,1958-06-17,Czechoslovakia,Northern Ireland,1669.379,1497.049,1669.3785510810665,1497.0489817551652,0.00044891893344356504,1.8244834791403264e-05,comparado
19580617_England_vs_Russia,1958-06-17,England,Russia,1713.611,1623.773,1713.6110082345047,1623.7730526412709,-8.234504548454424e-06,-5.2641270940512186e-05,comparado
19580617_Hungary_vs_Wales,1958-06-17,Hungary,Wales,1787.019,1528.949,1787.0189225601314,1528.9490140836613,7.743986861896701e-05,-1.4083661199038033e-05,comparado
19580619_Brazil_vs_Wales,1958-06-19,Brazil,Wales,1808.139,1563.196,1808.138533013337,1563.196334634204,0.0004669866627864394,-0.0003346342041368189,comparado
19580619_France_vs_Northern_Ireland,1958-06-19,France,Northern Ireland,1657.803,1527.687,1657.8031868031871,1527.6873309305522,-0.00018680318703445664,-0.00033093055230892787,comparado
19580619_Germany_vs_Yugoslavia,1958-06-19,Germany,Yugoslavia,1726.207,1697.374,1726.2067094522492,1697.3735829205714,0.0002905477508647891,0.000417079428643774,comparado
19580619_Sweden_vs_Russia,1958-06-19,Sweden,Russia,1672.273,1650.085,1672.2726771675261,1650.0852474677329,0.0003228324737847288,-0.00024746773283368384,comparado
19580624_Brazil_vs_France,1958-06-24,Brazil,France,1816.38,1678.292,1816.3803591636586,1678.2923729902043,-0.0003591636584587832,-0.0003729902043687616,comparado
19580624_Sweden_vs_Germany,1958-06-24,Sweden,Germany,1693.657,1745.468,1693.656556357842,1745.467942701097,0.00044364215796122153,5.729890312977659e-05,comparado
19580628_France_vs_Germany,1958-06-28,France,Germany,1661.248,1719.591,1661.247587805599,1719.5913282746574,0.00041219440095119353,-0.000328274657476868,comparado
