match_id,stage_label,title,team_a,team_b,model_modal_score,model_modal_prob,penca_score,penca_exact_prob,penca_expected_points_8_5_3,modal_expected_points_8_5_3,top3_by_probability,top3_by_expected_points,recommended_strategy,leader_score,middle_score,chaser_score,confidence_label,why_not_model_modal,tail_7plus_or_other_prob,warnings
,Grupo K,Portugal vs Dem. Rep. of Congo,Portugal,Dem. Rep. of Congo,2-0,0.1946764158,2-0,0.1946764158,3.4742864798,3.4742864798,2-0 (19.5%); 1-0 (16.9%); 3-0 (15.9%),2-0 (3.47 pts); 1-0 (3.36 pts); 3-0 (3.27 pts),balanced,2-0,2-0,2-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0137448072,
,Grupo L,England vs Croatia,England,Croatia,1-0,0.1382877715,1-0,0.1382877715,2.6686269804,2.6686269804,1-0 (13.8%); 2-0 (12.3%); 1-1 (10.9%),1-0 (2.67 pts); 2-0 (2.51 pts); 2-1 (2.50 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0038022936,
,Grupo L,Ghana vs Panama,Ghana,Panama,1-1,0.1222000518,0-1,0.1067617922,2.0893686905,1.7675232050,1-1 (12.2%); 0-0 (11.6%); 0-1 (10.7%),0-1 (2.09 pts); 0-2 (1.97 pts); 1-2 (1.96 pts),balanced,1-1,0-1,0-1,Baja,"No elegimos 1-1 aunque sea el modal (12.2%) porque 0-1 da mayor valor Penca esperado (2.09 vs 1.77 pts) al combinar exacto, diferencia y resultado.",0.0035651108,Penca difiere del modal
,Grupo K,Uzbekistan vs Colombia,Uzbekistan,Colombia,0-2,0.1699132490,0-2,0.1699132490,3.2071196803,3.2071196803,0-2 (17.0%); 0-1 (16.3%); 0-3 (12.9%),0-2 (3.21 pts); 0-1 (3.21 pts); 0-3 (2.96 pts),balanced,0-2,0-2,0-2,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0106267511,
,Grupo A,Czech Republic vs South Africa,Czech Republic,South Africa,1-0,0.1567351227,1-0,0.1567351227,2.9957837580,2.9957837580,1-0 (15.7%); 2-0 (15.5%); 0-0 (11.1%),1-0 (3.00 pts); 2-0 (2.94 pts); 2-1 (2.72 pts),balanced,1-0,1-0,1-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0073684461,
,Grupo B,Switzerland vs Bosnia and Herzegovina,Switzerland,Bosnia and Herzegovina,2-0,0.1601329720,2-0,0.1601329720,3.0382274835,3.0382274835,2-0 (16.0%); 1-0 (14.3%); 3-0 (12.6%),2-0 (3.04 pts); 1-0 (2.98 pts); 3-0 (2.83 pts),balanced,2-0,2-0,2-0,Media,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0106939845,
,Grupo B,Canada vs Qatar,Canada,Qatar,2-0,0.1880182352,2-0,0.1880182352,3.4136127479,3.4136127479,2-0 (18.8%); 1-0 (16.5%); 3-0 (15.1%),2-0 (3.41 pts); 1-0 (3.32 pts); 3-0 (3.20 pts),balanced,2-0,2-0,2-0,Alta,Modelo y Penca coinciden: el marcador más probable también maximiza valor esperado bajo 8/5/3.,0.0135333597,
,Grupo A,Mexico vs South Korea,Mexico,South Korea,1-1,0.1220238765,1-0,0.1190985252,2.2883807741,1.7574457884,1-1 (12.2%); 1-0 (11.9%); 0-0 (10.4%),1-0 (2.29 pts); 2-1 (2.19 pts); 2-0 (2.05 pts),balanced,1-1,1-0,1-0,Baja,"No elegimos 1-1 aunque sea el modal (12.2%) porque 1-0 da mayor valor Penca esperado (2.29 vs 1.76 pts) al combinar exacto, diferencia y resultado.",0.0023031176,Penca difiere del modal
,Grupo C,United States vs Australia,United States,Australia,1-1,0.1249439744,1-0,0.1154945561,2.1549971689,1.7762853241,1-1 (12.5%); 1-0 (11.5%); 0-0 (10.2%),1-0 (2.15 pts); 2-1 (2.07 pts); 3-2 (1.88 pts),balanced,1-1,1-0,1-0,Baja,"No elegimos 1-1 aunque sea el modal (12.5%) porque 1-0 da mayor valor Penca esperado (2.15 vs 1.78 pts) al combinar exacto, diferencia y resultado.",0.0016416658,Penca difiere del modal
,Grupo D,Scotland vs Morocco,Scotland,Morocco,1-1,0.1265618847,0-1,0.1187426195,2.2200322903,1.8334416036,1-1 (12.7%); 0-1 (11.9%); 0-0 (11.5%),0-1 (2.22 pts); 1-2 (2.10 pts); 0-2 (2.00 pts),balanced,1-1,0-1,0-1,Baja,"No elegimos 1-1 aunque sea el modal (12.7%) porque 0-1 da mayor valor Penca esperado (2.22 vs 1.83 pts) al combinar exacto, diferencia y resultado.",0.0019394222,Penca difiere del modal
